Brand,Model,Release Date,Sensor,DPI,Button,Connection,RGB,Length (mm),Width (mm),Height (mm),Weight (g),Price (USD)
Glorious,Model O- Wireless,Oct-2021,BAMF,19000,6,Wireless,Yes,120,63,35,65,$79.99
Glorious,Model D- Wireless,Oct-2021,BAMF,19000,6,Wireless,Yes,120,66,40,67,$79.99
Ninjutso,Katana,Sep-2021,PixArt PMW3389,16000,5,Wired,No,125,60.5,39,58,$59.99
Corsair,M65 RGB ULTRA WIRELESS,Sep-2021,MARKSMAN 26K,26000,8,Wireless,Yes,117,77,39,110|128,$129.99
Corsair,M65 RGB ULTRA,Sep-2021,MARKSMAN 26K,26000,8,Wired,Yes,117,77,39,97|115,$69.99
Corsair,SABRE RGB PRO WIRELESS,Sep-2021,MARKSMAN 26K,26000,7,Wireless,Yes,129,70,43,79,$109.99
SteelSeries,Prime Mini Wireless,Sep-2021,TrueMove Air,18000,5,Wireless,Yes,120.3,66.2,40.7,73,$139.99
SteelSeries,Prime Mini,Sep-2021,TrueMove Pro,18000,5,Wired,Yes,120.3,66.2,40.7,61,$69.99
Glorious,Model D Wireless,Sep-2021,BAMF,19000,6,Wireless,Yes,128,61,42,69,$79.99
Razer,Basilisk V3,Sep-2021,Razer Focus+,26000,11,Wired,Yes,130,60,42.5,101,$69.99
Pulsar,Xlite Wireless,Jul-2021,PixArt PAW3370,20000,5,Wireless,No,122.66,66.17,42,58,$74.95
Pwnage,Ultra Custom Wireless Symm 2,Jun-2021,PixArt PAW3370,19000,6,Wireless,Yes,118,60,38,66,$109.99
ZOWIE,EC1-C,Jun-2021,PixArt PMW3360,3200,5,Wired,No,130,69,42,80,$69.99
ZOWIE,EC2-C,Jun-2021,PixArt PMW3360,3200,5,Wired,No,123,65,42,73,$69.99
ZOWIE,EC3-C,Jun-2021,PixArt PMW3360,3200,5,Wired,No,119,66,41,70,$69.99
MSI,Clutch GM41 Lightweight Wireless,May-2021,PixArt PAW3370,20000,6,Wireless,Yes,130.1,67,38.3,74,$94.99
MSI,Clutch GM41 Lightweight,May-2021,PixArt PMW3389,16000,6,Wired,Yes,130.1,67,38.3,65,$49.99
COUGAR,AirBlader,May-2021,PixArt PMW3389,16000,6,Wired,No,117,62.8,37.8,62,39.99
SteelSeries,Prime Wireless,May-2021,TrueMove Air,18000,6,Wireless,Yes,125.3,67.9,42.4,80,$139.99
SteelSeries,Prime+,May-2021,TrueMove Pro+,18000,6,Wired,Yes,125.3,67.9,42.4,71,$89.99
SteelSeries,Prime,May-2021,TrueMove Pro,18000,6,Wired,Yes,125.3,67.9,42.4,69,$69.99
SteelSeries,Rival 5,May-2021,TrueMove Air,18000,9,Wired,Yes,128.8,63.35,28.2,85,$69.99
ASUS,ROG Gladius III Wireless,May-2021,PixArt PAW3370,19000,6,Wireless,Yes,123,68,44,89,$109.99
ASUS,ROG Gladius III,May-2021,PixArt PAW3370,19000,6,Wired,Yes,123,68,44,79,$79.99
ROCCAT,Kone Pro Air,May-2021,Owl-Eye (PMW3370),19000,5,Wireless,Yes,125.6,72,40,75,$129.99
ROCCAT,Kone Pro,May-2021,Owl-Eye (PMW3370),19000,5,Wired,Yes,125.6,72,40,66,$79.99
Razer,Orochi V2,Apr-2021,Razer 5G,18000,6,Wireless,No,108,60,38,60,$69.99
VAXEE,ZYGEN NP-01,Apr-2021,PixArt PMW3389,3200,5,Wired,No,120,62,36,71,$59.99
Corsair,SABRE RGB PRO,Apr-2021,PixArt PMW3392,18000,6,Wired,Yes,129,70,43,74,$59.99
Corsair,SABRE PRO,Apr-2021,PixArt PMW3392,18000,6,Wired,No,129,70,43,69,$54.99
Zaunkoenig,M2K,Mar-2021,PixArt PMW3360,800,3,Wired,No,79,60,30,24,€299
Sharkoon,Light² 180,Mar-2021,PixArt PMW3360,12000,6,Wired,Yes,120,63.5,39,63,$39.99
Corsair,KATAR PRO XT,Feb-2021,PixArt PMW3391,18000,6,Wired,Yes,115.8,64.2,37.8,73,$29.99
EVGA,X20,Feb-2021,PixArt PAW3335,16000,10,Wireless,Yes,122.71,70.27,44.52,123,$119.99
EVGA,X17,Feb-2021,PixArt PMW3389,16000,10,Wired,Yes,122.71,70.27,44.52,103,$79.99
Pulsar,Xlite,Jan-2021,PixArt PAW3370,20000,5,Wired,No,122.66,66.17,42,48.9,$48.85
Razer,Viper 8KHz,Jan-2021,Razer Focus+,20000,7,Wired,Yes,126.73,57.6,37.81,71,$79.99
Xtrfy,MZ1,Jan-2021,PixArt PMW3389,16000,6,Wired,Yes,111,58.5,36.5,56,$79
Endgame Gear,XM1r,Dec-2020,PixArt PAW3370,19000,6,Wired,No,122.14,65.81,38.26,70,$59.99
Xtrfy,M42 RGB,Dec-2020,PixArt PMW3389,16000,6,Wired,Yes,118,63,38,59,59|65|69
ASUS,ROG Keris Wireless,Dec-2020,PixArt PAW3335,16000,7,Wireless,Yes,118,62,39,79,$99.99
Ninjutso,Origin One X,Nov-2020,PixArt PAW3335,3200,5,Wireless,No,121.4,58,39.9,66,$79.99
